ELMIdentifier	PFAM	ELM_Tg	InterPro_Tg	InterPro_Tg_Prot	ELM_Hs	Instances	Instances_in_PDB	ELM_Dom_Nu	modification	phosphorylation	extracellular
DOC_CYCLIN_D_Helix_1	IPR039361	0	0	0	1	3	0	1	0	0	0
DOC_CYCLIN_RevRxL_6	IPR006671	0	1	5	1	1	1	1	0	0	0
DOC_CYCLIN_RxL_1	PF00134	1	1	5	1	31	7	1	0	0	0
DOC_CYCLIN_yClb1_LxF_4	PF00134	0	1	5	0	13	0	1	0	0	0
DOC_CYCLIN_yClb3_PxF_3	PF00134	0	1	5	0	4	0	1	0	0	0
DOC_CYCLIN_yClb5_NLxxxL_5	PF00134	0	1	5	0	5	0	1	0	0	0
DOC_CYCLIN_yCln2_LP_2	PF00134	0	1	5	0	18	0	1	0	0	0
DOC_GSK3_Axin_1	PF00069	0	1	128	1	6	1	1	0	0	0
DOC_MAPK_DCC_7	PF00069	1	1	128	1	11	2	1	0	0	0
DOC_MAPK_FxFP_2	PF00069	1	1	128	1	15	1	1	0	0	0
DOC_MAPK_gen_1	PF00069	1	1	128	1	15	0	1	0	0	0
DOC_MAPK_GRA24_9	PF00069	1	1	128	1	2	1	1	0	0	0
DOC_MAPK_HePTP_8	PF00069	1	1	128	1	10	3	1	0	0	0
DOC_MAPK_JIP1_4	PF00069	0	1	128	1	29	2	1	0	0	0
DOC_MAPK_MEF2A_6	PF00069	1	1	128	1	27	2	1	0	0	0
DOC_MAPK_NFAT4_5	PF00069	0	1	128	1	17	1	1	0	0	0
DOC_MAPK_RevD_3	PF00069	1	1	128	1	6	3	1	0	0	0
DOC_MIT_MIM_1	PF04212	1	1	1	1	5	5	1	0	0	0
DOC_PIKK_1	PF02985	1	1	2	1	4	0	1	0	0	0
DOC_PP1_MyPhoNE_1	PF00149	0	1	20	1	9	1	1	0	0	0
DOC_PP1_RVXF_1	PF00149	1	1	20	1	19	4	1	0	0	0
DOC_PP1_SILK_1	PF00149	1	1	20	1	14	1	1	0	0	0
DOC_PP2A_B56_1	IPR016024	1	1	109	1	18	2	1	0	0	0
DOC_PP2B_LxvP_1	PF13499	1	1	30	1	8	0	2	0	0	0
DOC_PP2B_PxIxIT_1	PF00149	1	1	20	1	10	2	1	0	0	0
DOC_PP4_FxxP_1	PF00568	1	0	0	1	15	0	1	0	0	0
DOC_PP4_MxPP_1	PF00568	1	0	0	1	2	0	1	0	0	0
DOC_PUB_PIM_1	IPR018997	1	1	5	1	2	2	1	0	0	0
DOC_RSK_DDVF_1	IPR000719	1	1	166	1	5	1	1	0	0	0
DOC_SPAK_OSR1_1	PF12202	0	0	0	1	13	1	1	0	0	0
DOC_TBK1_STING_1	IPR041309	0	0	0	1	5	2	2	0	0	0
DOC_USP7_MATH_1	PF00917	1	0	0	1	10	6	1	0	0	0
DOC_USP7_MATH_2	PF00917	1	0	0	1	1	1	1	0	0	0
DOC_USP7_UBL2_3	PF12436	1	0	0	1	7	2	1	0	0	0
DOC_WD40_RPTOR_TOS_1	PF00400	1	1	75	1	5	0	1	0	0	0
DOC_WW_Pin1_4	PF00397	1	1	8	1	96	1	1	1	1	0
LIG_14-3-3_CanoR_1	PF00244	1	1	4	1	65	16	1	1	1	0
LIG_14-3-3_ChREBP_3	PF00244	1	1	4	1	1	1	1	0	0	0
LIG_14-3-3_CterR_2	PF00244	1	1	4	1	6	1	1	1	1	0
LIG_ActinCP_CPI_1	PF01267	1	1	1	1	15	4	2	0	0	0
LIG_ActinCP_TwfCPI_2	PF01267	1	1	1	1	4	3	2	0	0	0
LIG_Actin_RPEL_3	PF00022	1	1	11	1	13	3	2	0	0	0
LIG_Actin_WH2_1	PF00022	1	1	11	1	9	4	1	0	0	0
LIG_Actin_WH2_2	PF00022	1	1	11	1	17	2	1	0	0	0
LIG_ANK_PxLPxL_1	PF00023	0	1	3	1	10	5	1	0	0	0
LIG_AP2alpha_1	PF02296	1	1	1	1	11	2	1	0	0	0
LIG_AP2alpha_2	PF02296	1	1	1	1	54	2	1	0	0	0
LIG_APCC_ABBA_1	PF00400	1	1	75	1	11	1	1	0	0	0
LIG_APCC_ABBAyCdc20_2	PF00400	1	1	75	1	2	0	1	0	0	0
LIG_APCC_Cbox_1	PF00515	0	1	2	1	2	0	1	0	0	0
LIG_APCC_Cbox_2	PF00515	0	1	2	0	3	0	1	0	0	0
LIG_AP_GAE_1	PF02883	1	1	2	1	11	0	1	0	0	0
LIG_Arc_Nlobe_1	IPR040814	0	0	0	1	11	4	1	0	0	0
LIG_ARL_BART_1	PF11527	0	0	0	1	2	2	1	0	0	0
LIG_ARS2_EDGEI_1	IPR007042	1	1	1	1	21	1	1	0	0	0
LIG_BH_BH3_1	PF00452	0	0	0	1	19	8	1	0	0	0
LIG_BIR_II_1	PF00653	0	0	0	1	0	0	1	0	0	0
LIG_BIR_III_1	PF00653	0	0	0	1	1	0	1	0	0	0
LIG_BIR_III_2	PF00653	0	0	0	1	3	1	1	0	0	0
LIG_BIR_III_3	PF00653	0	0	0	0	4	3	1	0	0	0
LIG_BIR_III_4	PF00653	0	0	0	0	2	0	1	0	0	0
LIG_BRCT_BRCA1_1	PF00533	1	1	2	1	5	3	1	1	1	0
LIG_BRCT_BRCA1_2	PF00533	1	1	2	1	1	1	1	1	1	0
LIG_BRCT_MDC1_1	PF00533	0	1	2	1	1	1	1	1	1	0
LIG_CaM_IQ_9	PF00036	1	1	1	1	75	10	2	0	0	0
LIG_CaMK_CASK_1	PF00069	0	1	128	1	6	0	1	0	0	0
LIG_CaM_NSCaTE_8	PF13499	0	1	30	1	3	0	1	0	0	0
LIG_CAP-Gly_1	PF01302	1	1	3	1	3	3	1	0	0	0
LIG_CAP-Gly_2	PF01302	1	1	3	1	1	1	1	0	0	0
LIG_CID_NIM_1	IPR006569	0	1	3	0	1	1	1	0	0	0
LIG_Clathr_ClatBox_1	PF01394	1	1	1	1	18	3	1	0	0	0
LIG_Clathr_ClatBox_2	PF01394	1	1	1	1	2	1	1	0	0	0
LIG_CNOT1_NIM_1	PF04054	0	1	1	1	10	1	1	0	0	0
LIG_CORNRBOX	PF00104	0	0	0	1	4	3	1	0	0	0
LIG_CSK_EPIYA_1	PF00017	0	0	0	1	20	0	1	0	0	0
LIG_CSL_BTD_1	PF09270	0	0	0	1	18	2	1	0	0	0
LIG_CtBP_PxDLS_1	PF00389	0	1	1	1	32	0	1	0	0	0
LIG_CtBP_RRT_2	IPR006140	0	1	2	1	5	0	1	0	0	0
LIG_DCNL_PONY_1	PF03556	1	1	1	1	2	0	1	0	0	0
LIG_deltaCOP1_diTrp_1	PF00928	1	1	4	1	5	2	1	0	0	0
LIG_DLG_GKlike_1	PF00625	0	1	1	1	14	4	1	1	1	0
LIG_Dynein_DLC8_1	PF01221	1	1	6	1	9	4	1	0	0	0
LIG_EABR_CEP55_1	PF12180	0	0	0	1	6	1	1	0	0	0
LIG_EF_ALG2_ABM_1	SM00054	1	1	39	1	9	1	1	0	0	0
LIG_EF_ALG2_ABM_2	SM00054	1	1	39	1	3	0	1	0	0	0
LIG_EH_1	PF12763	1	1	2	1	88	3	2	0	0	0
LIG_EH1_1	PF00400	0	1	75	1	11	1	1	0	0	0
LIG_eIF4E_1	PF01652	1	1	3	1	13	0	1	0	0	0
LIG_eIF4E_2	PF01652	1	1	3	1	5	0	1	0	0	0
LIG_EVH1_1	PF00568	0	0	0	1	19	3	1	0	0	0
LIG_EVH1_2	PF00568	0	0	0	1	8	1	1	0	0	0
LIG_EVH1_3	PF00568	1	0	0	1	3	1	1	0	0	0
LIG_FAT_LD_1	PF03623	1	0	0	1	4	2	1	0	0	0
LIG_FERM_MyoX_1	IPR041797	1	0	0	1	4	2	1	0	0	0
LIG_FHA_1	PF00498	1	1	9	1	6	3	1	1	1	0
LIG_FHA_2	PF00498	1	1	9	1	6	2	1	1	1	0
LIG_FXI_DFP_1	PF00024	0	1	17	1	5	2	1	0	0	1
LIG_FZD_DVL_PDZ	PF00595	0	1	1	1	9	0	1	0	0	0
LIG_G3BP_FGDF_1	PF02136	0	1	2	1	9	0	1	0	0	0
LIG_GBD_Chelix_1	PF00786	0	0	0	1	12	3	1	0	0	1
LIG_GLEBS_BUB3_1	PF00400	0	1	75	1	5	2	1	0	0	0
LIG_GSK3_LRP6_1	PF00069	0	1	128	1	8	0	1	0	0	0
LIG_GYF	PF02213	1	1	4	1	3	1	1	0	0	0
LIG_HCF-1_HBM_1	PF13415	0	1	4	1	17	0	1	0	0	0
LIG_HOMEOBOX	PF00046	0	0	0	1	16	1	1	0	0	0
LIG_HP1_1	PF01393	1	0	0	1	9	1	1	0	0	0
LIG_IBAR_NPY_1	PF08397	0	0	0	1	7	1	1	0	0	0
LIG_IBS_1	PF00092	0	1	2	1	0	0	1	0	0	0
LIG_Integrin_collagen_1	IPR002035	0	1	4	1	7	4	1	1	0	1
LIG_Integrin_isoDGR_2	PF08441	0	0	0	1	8	0	3	0	0	1
LIG_Integrin_KxxGD_FGGC_5	PF00362	0	0	0	1	5	1	2	0	0	1
LIG_Integrin_RGD_1	PF00362	0	0	0	1	25	2	2	0	0	1
LIG_Integrin_RGDSP_6	PF01839	0	0	0	1	6	1	2	0	0	1
LIG_Integrin_RGD_TGFB_3	PF00362	0	0	0	1	5	4	1	0	0	1
LIG_Integrin_RGDW_4	PF01839	0	0	0	1	18	0	1	0	0	1
LIG_IRF7_LxLS_2	IPR019471	0	0	0	1	1	0	1	1	1	0
LIG_IRF3_LxIS_1	PF10401	1	0	0	1	7	5	1	1	1	0
LIG_KEPE_1	PF	0	0	0	1	5	0	0	0	0	0
LIG_KEPE_2	PF	0	0	0	1	12	0	0	0	0	0
LIG_KEPE_3	PF	0	0	0	1	4	0	0	0	0	0
LIG_KLC1_WD_1	SM00028	1	1	37	1	22	1	1	0	0	0
LIG_KLC1_Yacidic_2	PF13176	0	1	1	1	3	2	1	0	0	0
LIG_LEDGF_IBM_1	IPR021567	0	0	0	1	9	3	1	0	0	0
LIG_LIR_Apic_2	PF02991	1	1	1	0	1	1	1	0	0	0
LIG_LIR_Gen_1	PF02991	1	1	1	1	54	26	1	0	0	0
LIG_LIR_LC3C_4	PF02991	1	1	1	1	1	1	1	0	0	0
LIG_LIR_Nem_3	PF02991	0	1	1	0	11	1	1	0	0	0
LIG_LRP6_Inhibitor_1	PF00058	0	0	0	1	3	2	1	0	0	1
LIG_LSD1_SNAG_1	PF01593	0	1	2	1	11	1	1	0	0	0
LIG_LYPXL_L_2	PF13949	1	1	1	1	4	3	1	0	0	0
LIG_LYPXL_S_1	PF13949	1	1	1	1	19	1	1	0	0	0
LIG_LYPXL_SIV_4	PF13949	1	1	1	1	3	2	1	0	0	0
LIG_LYPXL_yS_3	PF13949	0	1	1	0	2	0	1	0	0	0
LIG_MAD2	PF02301	1	1	1	1	6	1	1	0	0	0
LIG_Menin_MBM1_1	IPR007747	0	0	0	1	4	2	1	0	0	0
LIG_MLH1_MIPbox_1	PF16413	1	1	1	1	6	2	1	0	0	0
LIG_MSH2_SHIPbox_1	IPR007696	1	1	2	1	10	0	1	0	0	0
LIG_MTR4_AIM_1	IPR025696	1	1	1	1	8	4	1	0	0	0
LIG_Mtr4_Air2_1	PF00270	0	1	53	0	3	1	1	0	0	0
LIG_Mtr4_Trf4_1	PF00270	0	1	53	0	4	1	1	0	0	0
LIG_Mtr4_Trf4_2	PF00270	0	1	53	1	3	0	1	0	0	0
LIG_MYND_1	PF01753	0	1	5	1	6	0	1	0	0	0
LIG_MYND_2	PF01753	0	1	5	1	3	1	1	0	0	0
LIG_MYND_3	PF01753	0	1	5	1	2	0	1	0	0	0
LIG_NBox_RRM_1	PF00076	1	1	77	1	2	1	1	0	0	0
LIG_NRBOX	PF00104	0	0	0	1	24	5	1	0	0	0
LIG_Nrd1CID_NIM_1	IPR006569	0	1	3	0	5	4	1	0	0	0
LIG_NRP_CendR_1	PF00754	0	1	5	1	12	4	1	0	0	1
LIG_OCRL_FandH_1	PF00620	0	1	1	1	3	1	1	0	0	0
LIG_PALB2_WD40_1	PF16756	0	0	0	1	1	1	1	0	0	0
LIG_PAM2_1	PF00658	1	1	1	1	22	6	1	0	0	0
LIG_PAM2_2	PF00658	0	1	1	1	4	1	1	0	0	0
LIG_PCNA_APIM_2	PF02747	0	1	2	1	2	1	1	0	0	0
LIG_PCNA_PIPBox_1	PF02747	1	1	2	1	19	10	1	0	0	0
LIG_PCNA_TLS_4	PF02747	1	1	2	1	3	2	1	0	0	0
LIG_PCNA_yPIPBox_3	PF02747	0	1	2	0	12	2	1	0	0	0
LIG_PDZ_Class_1	PF00595	0	1	1	1	52	24	1	0	0	0
LIG_PDZ_Class_2	PF00595	1	1	1	1	13	8	1	0	0	0
LIG_PDZ_Class_3	PF00595	1	1	1	1	1	1	1	0	0	0
LIG_PDZ_Wminus1_1	PF00595	0	1	1	1	27	3	1	0	0	0
LIG_Pex14_1	PF04695	1	1	1	1	27	1	2	0	0	0
LIG_Pex14_2	PF04695	1	1	1	1	2	0	1	0	0	0
LIG_Pex14_3	PF04695	1	1	1	1	1	1	1	0	0	0
LIG_Pex14_4	PF04695	0	1	1	0	0	0	1	0	0	0
LIG_Pex3_1	PF04882	1	0	0	1	1	0	1	0	0	0
LIG_PROFILIN_1	PF00235	1	1	2	1	16	4	1	0	0	0
LIG_PTAP_UEV_1	PF05743	0	0	0	1	28	2	1	0	0	0
LIG_PTB_Apo_2	PF02174	0	0	0	1	19	7	2	0	0	0
LIG_PTB_Phospho_1	PF08416	0	0	0	1	17	6	4	1	1	0
LIG_RBL1_LxSxE_2	PF01857	0	0	0	1	1	1	2	1	1	0
LIG_Rb_LxCxE_1	PF01857	0	0	0	1	45	9	1	0	0	0
LIG_Rb_pABgroove_1	PF01858	0	0	0	1	3	2	1	1	1	0
LIG_REV1ctd_RIR_1	PF16727	1	0	0	1	10	4	1	0	0	0
LIG_RPA_C_Fungi	PF08784	0	0	0	0	1	0	1	0	0	0
LIG_RPA_C_Insects	PF08784	0	0	0	0	0	0	1	0	0	0
LIG_RPA_C_Plants	PF08784	0	0	0	0	0	0	1	0	0	0
LIG_RPA_C_Vert	PF08784	0	0	0	1	4	2	1	0	0	0
LIG_RRM_PRI_1	PF10378	0	0	0	1	3	0	1	0	0	0
LIG_Rrp6Rrp47_Mtr4_1	PF	1	0	0	1	5	1	0	0	0	0
LIG_RuBisCO_WRxxL_1	PF00101	0	0	0	0	20	2	1	0	0	0
LIG_SH2_CRK	PF00017	0	0	0	1	36	1	1	1	1	0
LIG_SH2_GRB2like	PF00017	0	0	0	1	35	10	1	1	1	0
LIG_SH2_NCK_1	PF00017	0	0	0	1	17	1	1	1	1	0
LIG_SH2_PTP2	PF00017	0	0	0	1	1	0	1	1	1	0
LIG_SH2_SFK_2	IPR000980	0	0	0	1	20	5	1	1	1	0
LIG_SH2_SFK_CTail_3	IPR000980	0	0	0	1	4	4	1	1	1	0
LIG_SH2_SRC	PF00017	0	0	0	1	24	1	1	1	1	0
LIG_SH2_STAP1	PF00017	0	0	0	1	22	1	1	1	1	0
LIG_SH2_STAT3	PF00017	0	0	0	1	9	0	1	1	1	0
LIG_SH2_STAT5	PF00017	0	0	0	1	19	0	1	1	1	0
LIG_SH2_STAT6	PF00017	0	0	0	1	1	0	1	1	1	0
LIG_SH3_1	PF00018	0	0	0	1	8	0	1	0	0	0
LIG_SH3_2	PF07653	0	1	1	1	19	6	3	0	0	0
LIG_SH3_3	PF00018	0	0	0	1	26	1	1	0	0	0
LIG_SH3_4	PF00018	0	0	0	1	2	0	1	0	0	0
LIG_SH3_CIN85_PxpxPR_1	PF14604	0	0	0	1	60	4	1	0	0	0
LIG_SH3_PxRPPK_7	IPR001452	0	0	0	1	7	1	1	0	0	0
LIG_SH3_PxxDY_5	PF00018	0	0	0	1	7	2	2	0	0	0
LIG_SH3_PxxPPRxxK_8	IPR001452	0	0	0	1	6	1	1	0	0	0
LIG_SH3_PxxxRxxKP_6	IPR001452	0	0	0	1	16	3	1	0	0	0
LIG_Sin3_1	PF02671	1	0	0	1	4	2	1	0	0	0
LIG_Sin3_2	PF02671	1	0	0	1	3	0	1	0	0	0
LIG_Sin3_3	PF02671	1	0	0	1	2	0	1	0	0	0
LIG_SPRY_1	PF00622	1	1	3	1	2	2	1	0	0	0
LIG_SUFU_1	PF05076	0	0	0	1	5	2	2	0	0	0
LIG_SUMO_SIM_anti_2	PF11976	1	1	1	1	17	2	1	0	0	0
LIG_SUMO_SIM_par_1	PF11976	1	1	1	1	33	4	1	0	0	0
LIG_SxIP_EBH_1	PF03271	1	1	2	1	9	1	1	0	0	0
LIG_TPR	PF00515	1	1	2	1	9	2	1	0	0	0
LIG_TRAF2like_MATH_loPxQ_2	PF00917	1	0	0	1	5	5	4	0	0	0
LIG_TRAF2like_MATH_shPxQ_1	PF00917	1	0	0	1	13	4	4	0	0	0
LIG_TRAF3_MATH_PxP_3	IPR037304	0	0	0	1	2	2	1	0	0	0
LIG_TRAF4_MATH_1	IPR002083	0	1	1	1	3	1	1	0	0	0
LIG_TRAF6_MATH_1	PF00917	0	0	0	1	34	5	1	0	0	0
LIG_Trf4_IWRxY_1	IPR002058	1	1	3	1	4	1	1	0	0	0
LIG_TRFH_1	PF08558	1	0	0	1	3	2	1	0	0	0
LIG_TYR_ITAM	PF00017	0	0	0	1	7	1	1	1	1	0
LIG_TYR_ITIM	PF00017	0	0	0	1	7	0	1	1	1	0
LIG_TYR_ITSM	PF00017	0	0	0	1	12	0	1	1	1	0
LIG_UBA3_1	PF00899	1	1	9	1	2	0	1	0	0	0
LIG_UFM1_UFIM_1	PF03671	1	1	1	1	1	1	1	0	0	0
LIG_ULM_U2AF65_1	PF00076	1	1	77	1	8	3	1	0	0	0
LIG_VCP_SHPBox_1	IPR003338	1	1	2	1	17	2	1	0	0	0
LIG_VCP_VBM_3	IPR003338	1	1	2	1	3	1	1	0	0	0
LIG_VCP_VIM_2	IPR003338	1	1	2	1	9	1	1	0	0	0
LIG_Vh1_VBS_1	PF01044	1	0	0	1	15	10	1	0	0	0
LIG_WD40_WDR5_VDV_1	IPR017986	1	1	121	1	3	3	1	0	0	0
LIG_WD40_WDR5_VDV_2	IPR017986	0	1	121	0	2	0	1	0	0	0
LIG_WD40_WDR5_WIN_1	IPR017986	0	1	121	1	7	7	1	0	0	0
LIG_WD40_WDR5_WIN_2	IPR017986	0	1	121	0	4	1	1	0	0	0
LIG_WD40_WDR5_WIN_3	IPR017986	0	1	121	0	3	0	1	0	0	0
LIG_WH1	PF00568	1	0	0	1	3	0	1	0	0	0
LIG_WRC_WIRS_1	PF07815	0	0	0	1	22	0	1	0	0	0
LIG_WRPW_1	PF00400	0	1	75	1	20	0	1	0	0	0
LIG_WRPW_2	PF00400	0	1	75	1	2	0	1	0	0	0
LIG_WW_1	PF00397	1	1	8	1	29	3	1	0	0	0
LIG_WW_2	PF00397	1	1	8	1	3	0	1	0	0	0
LIG_WW_3	PF00397	1	1	8	1	1	0	1	0	0	0
MOD_AAK1BIKe_LxxQxTG_1	IPR000719	0	1	162	1	17	0	1	1	1	0
MOD_ASX_betaOH_EGF	PF05118	0	0	0	1	6	0	1	0	0	1
MOD_CAAXbox	PF01239	1	1	2	1	17	2	1	1	0	0
MOD_CDC14_SPxK_1	PF00782	1	1	6	1	48	0	1	1	1	0
MOD_CDK_SPK_2	PF00069	1	1	128	1	18	0	1	1	1	0
MOD_CDK_SPxK_1	PF00069	1	1	128	1	26	1	1	1	1	0
MOD_CDK_SPxxK_3	PF00069	1	1	128	1	25	0	1	1	1	0
MOD_CK1_1	PF00069	1	1	128	1	27	0	1	1	1	0
MOD_CK2_1	PF00069	1	1	128	1	34	0	1	1	1	0
MOD_CMANNOS	PF00535	0	1	8	1	24	0	1	0	0	1
MOD_Cter_Amidation	PF01082	0	0	0	1	0	0	1	0	0	1
MOD_DYRK1A_RPxSP_1	PF00069	1	1	128	1	22	1	1	1	1	0
MOD_GlcNHglycan	PF01048 	0	1	3	1	6	0	2	1	0	1
MOD_GSK3_1	PF00069	1	1	128	1	22	0	1	1	1	0
MOD_LATS_1	PF00433	0	1	1	1	23	0	2	1	1	0
MOD_LOK_YxT_1	IPR000719	0	1	162	1	5	0	1	1	1	0
MOD_NEK2_1	PF00069	1	1	128	1	3	0	1	1	1	0
MOD_NEK2_2	PF00069	1	1	128	1	0	0	1	1	1	0
MOD_N-GLC_1	PF02516	1	1	1	1	156	1	1	0	0	1
MOD_N-GLC_2	PF02516	0	1	1	1	5	0	1	0	0	1
MOD_NMyristoyl	PF02799	1	1	1	1	50	7	1	0	0	0
MOD_OFUCOSY	PF10250	0	1	1	1	4	0	1	1	0	1
MOD_OGLYCOS	PF02709	0	1	3	1	2	0	1	1	0	1
MOD_PIKK_1	PF00454	1	1	9	1	30	0	1	1	1	0
MOD_PK_1	PF00069	0	1	128	1	1	0	1	1	1	0
MOD_PKA_1	PF00069	1	1	128	1	25	0	1	1	1	0
MOD_PKA_2	PF00069	1	1	128	1	28	0	1	1	1	0
MOD_PKB_1	PF00069	0	1	128	1	20	1	1	1	1	0
MOD_Plk_1	PF00069	1	1	128	1	44	0	1	0	0	0
MOD_Plk_2-3	PF00069	0	1	128	1	3	0	1	1	1	0
MOD_Plk_4	PF00069	0	1	128	1	7	0	1	1	1	0
MOD_PRMT_GGRGG_1	PS51678	1	1	4	1	24	0	0	0	0	0
MOD_ProDKin_1	PF00069	1	1	128	1	38	0	1	1	1	0
MOD_SPalmitoyl_2	PF01529	1	1	18	1	2	0	1	1	0	0
MOD_SPalmitoyl_4	PF01529	0	1	18	1	6	0	1	1	0	0
MOD_SUMO_for_1	PF00179	1	1	17	1	46	1	1	1	0	0
MOD_SUMO_rev_2	PF00179	1	1	17	1	20	0	1	1	0	0
MOD_TYR_CSK	PF07714	0	1	6	1	12	0	1	1	1	0
MOD_TYR_DYR	PF00069	1	1	128	1	9	0	1	1	1	0
MOD_WntLipid	PF03062	0	1	3	1	1	0	1	1	0	1
TRG_AP2beta_CARGO_1	PF09066	0	1	2	1	4	2	1	0	0	0
TRG_Cilium_Arf4_1	PF00025	0	1	8	1	1	0	1	0	0	0
TRG_Cilium_RVxP_2	PF	0	0	0	1	2	0	1	0	0	0
TRG_DiLeu_BaEn_1	PF01217	1	1	7	1	23	4	1	0	0	0
TRG_DiLeu_BaEn_2	PF01217	0	1	7	1	4	0	1	0	0	0
TRG_DiLeu_BaEn_3	PF01217	0	1	7	1	4	0	1	0	0	0
TRG_DiLeu_BaEn_4	PF01217	1	1	7	1	4	0	1	0	0	0
TRG_DiLeu_BaLyEn_6	PF01217	1	1	7	1	18	1	1	0	0	0
TRG_DiLeu_LyEn_5	PF01217	0	1	7	1	18	0	1	0	0	0
TRG_ENDOCYTIC_2	PF00928	1	1	4	1	15	1	1	0	0	0
TRG_ER_diArg_1	PF00400	1	1	75	1	27	0	1	0	0	0
TRG_ER_diLys_1	PF00400	1	1	75	1	14	0	1	0	0	0
TRG_ER_FFAT_1	PF00635	0	1	1	1	29	2	1	0	0	0
TRG_ER_FFAT_2	PF00635	0	1	1	1	7	0	1	1	1	0
TRG_ER_KDEL_1	PF00810	1	1	6	1	13	0	1	0	0	0
TRG_Golgi_diPhe_1	PF00400	0	1	75	1	11	0	1	0	0	0
TRG_LysEnd_GGAAcLL_1	PF00790	0	0	0	1	6	3	1	0	0	0
TRG_LysEnd_GGAAcLL_2	PF00790	0	0	0	1	4	0	1	0	0	0
TRG_NES_CRM1_1	PF08389	1	1	2	1	18	3	1	0	0	0
